id,alpha,generation,parent_alpha,category,field_set,operator_set,status,sim_id,alpha_id,sharpe,fitness,turnover,returns,margin,predicted_sharpe,predicted_fitness,predicted_turnover,score,created_at,settings,pnl,bookSize,longCount,shortCount,drawdown
11572,"trade_when(ts_zscore(infinite_maturity_ex_announcement_implied_volatility,63)<0, ts_zscore(ebit_stddev,63), 0)",0.0,,Hybrid,"ebit_stddev,infinite_maturity_ex_announcement_implied_volatility","<,trade_when,ts_zscore",UNSUBMITTED,3FqrY9dMQ4MMbu1xpLcJvRL,bl9xLVbK,1.33,1.13,0.1029,0.0906,0.001761,0.559,0.379,0.133,1.3413833333333334,2026-06-11 00:23:30,,4484259.0,20000000.0,486.0,458.0,0.0694
11592,"trade_when(ts_zscore(infinite_maturity_ex_announcement_implied_volatility,63)<0, ts_zscore(ebit_stddev,252), 0)",0.0,,Hybrid,"ebit_stddev,infinite_maturity_ex_announcement_implied_volatility","<,trade_when,ts_zscore",UNSUBMITTED,3KUMfZ2TG5hfaU25arlbBQQ,0m8GpY02,1.29,1.35,0.0612,0.1374,0.004494,0.68,0.5,0.134,1.4491500000000002,2026-06-11 14:37:03,,6800682.0,20000000.0,543.0,508.0,0.0944
11992,"trade_when(ts_zscore(infinite_maturity_ex_announcement_implied_volatility,63)<0, ts_zscore(five_hundred_day_intraday_historical_volatility,63), 0)",0.0,,Hybrid,"five_hundred_day_intraday_historical_volatility,infinite_maturity_ex_announcement_implied_volatility","<,trade_when,ts_zscore",UNSUBMITTED,u0SFGccC4S0aiU1f7EPHrWR,wpeGYnKv,1.27,2.02,0.083,0.3177,0.007652,0.901,0.787,0.162,1.6095,2026-06-12 16:09:52,,15718835.0,20000000.0,485.0,388.0,0.302
12015,"ts_zscore(five_hundred_day_intraday_historical_volatility,252) * (1/ts_rank(month_one_at_the_money_implied_volatility,252))",0.0,,Hybrid,"five_hundred_day_intraday_historical_volatility,month_one_at_the_money_implied_volatility","*,/,ts_rank,ts_zscore",UNSUBMITTED,19OfKp4jt5b99U8GHno6RT1,le01jA17,1.35,1.81,0.2153,0.3853,0.003579,0.962,0.889,0.199,1.2717166666666668,2026-06-12 16:47:13,,19064115.0,20000000.0,1168.0,841.0,0.2142
12072,"trade_when(ts_zscore(month_one_at_the_money_implied_volatility,63)<0, ts_zscore(five_hundred_day_intraday_historical_volatility,252), 0)",0.0,,Hybrid,"five_hundred_day_intraday_historical_volatility,month_one_at_the_money_implied_volatility","<,trade_when,ts_zscore",UNSUBMITTED,8ILrN8CB4WH9TtT0gBNLiy,mLX7dbap,1.3,2.2,0.0334,0.3587,0.021495,1.006,0.95,0.157,1.7371333333333334,2026-06-12 17:23:19,,17746281.0,20000000.0,610.0,411.0,0.2241
