dataset,field_id,type,description,coverage,alphaCount,userCount,score
news18,nws18_event_similarity_days,VECTOR,"Number of days since a similar event was last detected within the past 365 days, up to 5 decimals",0.8999,623,315,183.13021475162884
option9,option_breakeven_90,MATRIX,Open-interest-weighted mean breakeven price at which buyers of calls and puts combined break even for options expiring in 90 days,0.9835,346,189,183.07836816027103
option9,pcr_vol_150,MATRIX,"Ratio of total put options volume to call options volume for options expiring in 150 days, reflecting short-term options flow sentiment",0.981,347,195,183.01259809389734
model77,mdl177_fa_saleicap,MATRIX,Trailing 12-Month Sales to Invested Capital: Sales over the past 12 months divided by invested capital,1.0,312,162,182.93078290943535
model77,mdl177_2_deepvaluefactor_ttmfcfp,MATRIX,Trailing 12-month free cash flow per share divided by month-end trading price (operating cash flow minus capital expenditures and cash dividends),1.0,325,149,182.92215028414836
analyst4,anl4_gric_value,MATRIX,Gross income- announced financial value,0.6954,2206,1444,182.91321706530002
model53,mdl53_jc5_3year,MATRIX,Annualized default probability at the 3-year horizon (percentage),0.965,540,108,182.89093219961055
model77,mdl177_valanalystmodel_qva_shortfall,MATRIX,Rank related to earnings shortfalls (occurrence/size),1.0,345,128,182.76344977238563
option9,pcr_vol_30,MATRIX,Ratio of put volume to call volume on a stock's options with expiration 30 days in the future,0.981,327,206,182.69373005016826
option9,put_breakeven_270,MATRIX,Weighted mean breakeven price of put options expiring in 270 days indicating the break even price for put buyers based on recent bids and asks,0.9795,360,175,182.69119955851954
model77,mdl177_2_sensitivityfactor400_chg12mtotdebt,MATRIX,Relative change in total debt (sum of long-term and short-term debt) over the past 12 months,0.9926,365,128,182.58539535582202
analyst4,anl4_fsdtlestmtbscv104_item,VECTOR,Financial item,0.8087,910,810,182.50676924317665
analyst4,anl4_fs_guidances_advanced_qf_nd_netprofita_maxguidance,MATRIX,Maximum guidance value for Adjusted net income,1.0,262,211,182.5044716951377
model53,mdl53_jc5_1month,MATRIX,Annualized default probability at the 1-month horizon (percentage),0.965,493,120,182.50430789986294
news12,nws12_prez_57s,VECTOR,Number of minutes that elapsed before price went down 7.5 percentage points,0.9199,451,355,182.5014754525825
model77,mdl177_2_relativevaluemodel_fc_estep,MATRIX,Leading 12-Month Median Earnings Yield; median consensus earnings estimate for the next fiscal year divided by trading price,0.9743,358,188,182.471958960181
pv13,pv13_ustomergraphrank_hub_rank,MATRIX,the HITS hub score of customers,0.7906,1123,742,182.35997052812516
news12,news_short_interest,MATRIX,Ratio of total number of shares sold short to total shares outstanding,0.872,637,451,182.35179373260905
model77,mdl177_2_managementqualityfactor_equityto,MATRIX,Equity Turnover: trailing 12-month sales divided by average trailing 12-month reported book equity,1.0,288,167,182.28408677814062
model77,mdl177_valueanalystmodel_qva_composite_alt,MATRIX,Overall composite rank summarizing multiple Value Analyst signals for a stock,1.0,312,142,182.27625505670107
news12,nws12_prez_1p,VECTOR,The minimum of L or S above for 1-minute bucket,0.9199,507,267,182.24974937833912
model53,mdl53_jc5_2year,MATRIX,Annualized default probability at the 2-year horizon (percentage),0.965,423,155,182.24661458856727
model53,mdl53_jc5_6month,MATRIX,Annualized default probability at the 6-month horizon (percentage),0.965,478,121,182.23711119777545
news12,nws12_mainz_02l,VECTOR,Number of minutes that elapsed before price went up 20 percentage points,0.9741,351,187,182.22852157013074
model77,mdl177_valuemomemtummodel_vma_composite,MATRIX,Primary composite score combining value and momentum modules/signals into a unified ranking for each stock,1.0,277,176,182.1569597997755
model53,mdl53_ms5_10year,MATRIX,"Annualized default probability at the 10-year horizon from Kamakura’s Merton structural model v5 (MS5), reported in percent",0.9709,532,84,182.08847052411005
pv13,pv13_ustomergraphrank_page_rank,MATRIX,the PageRank of customers,0.7906,1082,745,182.00853047102868
option9,pcr_vol_20,MATRIX,"Ratio of put option volume to call option volume for options expiring in 20 days, signaling short-term options flow sentiment",0.981,305,206,181.99944498585063
analyst4,anl4_netprofita_mean,MATRIX,Adjusted net income - mean of estimations,0.7511,1428,937,181.9760515243298
pv13,pv13_rha2_min2_sector,GROUP,grouping fields,0.722,1846,994,181.92689348778535
option9,pcr_vol_90,MATRIX,"Ratio of put options volume to call options volume for stock options expiring in 90 days, indicating short-term options flow sentiment",0.981,281,239,181.9222653260911
option9,option_breakeven_60,MATRIX,The weighted mean price at which buyers of call and put options combined break even at 60 days to expiry based on recent bid/ask prices,0.9835,308,186,181.8389558532504
option9,option_breakeven_150,MATRIX,Price at which a stock's options with expiration 150 days in the future break even based on its recent bid/ask mean,0.9835,329,161,181.7789082207672
model77,mdl177_2_pricemomentumfactor_indrelrtn5d_,MATRIX,"Stock's 5-day return minus industry average 5-day return, scaled by industry standard deviation, reflecting industry-relative momentum",1.0,368,92,181.77096390617157
news12,nws12_prez_4s,VECTOR,Number of minutes that elapsed before price went down 4 percentage points,0.9199,519,216,181.42777488345706
model53,mdl53_ms5_7year,MATRIX,"Annualized default probability at the 7-year horizon from Kamakura’s Merton structural model v5 (MS5), reported in percent",0.9709,462,97,181.39210793421518
model77,mdl177_v1_400_visiratio,MATRIX,Visibility ratio: most recent daily trading volume divided by average daily trading volume over previous 50 days; measures trading activity relative to norm,1.0,298,129,181.34210798618477
analyst4,anl4_ebit_median,MATRIX,Earnings before interest and taxes - median of estimations,0.7097,1952,999,181.27999570367749
model77,mdl177_historicalgrowthfactor_chgnpm_alt,MATRIX,Most recent quarterly net profit margin minus net profit margin from four quarters ago,0.9621,414,140,181.23658465419783
model77,mdl177_2_deepvaluefactor_ttmfcfev,MATRIX,Trailing 12-month free cash flow divided by enterprise value,0.9955,307,130,181.2269844457415
model77,mdl177_5shortsentimentfactor_conc_ratio,MATRIX,"Short Concentration Ratio: measures the degree to which short interest is concentrated in a limited number of stocks, indicating potential crowding risk in short positions",1.0,317,111,181.21300818427724
socialmedia12,scl12_buzz_fast_d1,MATRIX,relative sentiment volume,0.9756,294,210,181.18904423077853
pv1,ticker,SYMBOL,Ticker,1.0,293,129,181.17346992566473
model53,mdl53_ms5_6month,MATRIX,"Annualized default probability at the 6-month horizon from Kamakura’s Merton structural model v5 (MS5), reported in percent",0.9709,460,93,181.1404543413165
model16,multi_factor_acceleration_score_derivative,MATRIX,Change in the acceleration of multi-factor score compared to previous period.,1.0,243,186,181.12722533720495
analyst4,anl4_qf_az_eps_mean,MATRIX,Earnings per share - mean of estimations,0.7848,1117,650,181.0655147481933
analyst4,anl4_basicconqfv110_numest,VECTOR,The number of forecasts counted in aggregation,0.7262,1469,1151,180.796451004007
model16,growth_potential_rank_derivative,MATRIX,Composite growth score qualifying the stock’s expected medium‑term growth potential,1.0,240,177,180.756887086367
model77,mdl177_fa_equityto,MATRIX,Equity Turnover Ratio,1.0,273,134,180.65765495607283
option9,option_breakeven_720,MATRIX,Price at which a stock's options with expiration 720 days in the future break even based on its recent bid/ask mean,0.9835,297,157,180.6339100301889
model77,mdl177_5shortsentimentfactor_inv_conc,MATRIX,Inventory value concentration: degree to which lending inventory is concentrated among a few lenders,1.0,313,101,180.6187939255039
pv13,pv13_revere_index_value,MATRIX,Value of specified index for the date,0.8603,598,456,180.6060329356255
option9,pcr_vol_720,MATRIX,Ratio of put options volume to call options volume for contracts expiring in 720 days on a stock's options,0.981,271,197,180.59935581643265
analyst4,anl4_basicconltv110_numest,VECTOR,The number of forecasts counted in aggregation,0.7004,1719,1319,180.46773077597706
