"alpha","status","sim_id","alpha_id","sharpe","fitness","turnover","returns","margin"
"rank(ts_zscore(anl4_ebit_value,252))","RUNNING","4xud5kbPr4Gvc58TdjfRol4","","","","","",""
"rank(ts_zscore(anl4_ebit_value,252)-ts_zscore(anl4_ebitda_value,252))","RUNNING","37BdLG4af53Sc0b1bwLVfJyq","","","","","",""
"rank(ts_zscore(anl4_ebit_value,252)-ts_zscore(anl4_fcf_flag,252))","RUNNING","3snILE3Wx4TJcaecLk0z8ZO","","","","","",""
"rank(ts_zscore(anl4_ebit_value,252)-ts_zscore(anl4_netprofit_flag,252))","RUNNING","yryYwaVs4S28UrpxEGRWnq","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,126))","RUNNING","2HAJU8bwY544b8E12F3cftto","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,126)-ts_zscore(anl4_ebit_value,126))","RUNNING","2PKeYQ1ju4hlbz730AWwi8h","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,126)-ts_zscore(anl4_fcf_flag,126))","RUNNING","3HGO3e4aY4Cnc4DYtSUgilS","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,126)-ts_zscore(anl4_netprofit_flag,126))","RUNNING","48tdPwfEt4NOcua1gF5u1rwi","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,252))","RUNNING","2prohXum4pJasBmaQoqenF","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,252)-ts_zscore(anl4_ebit_value,252))","RUNNING","45maF94r5jHbdv40jNPJsI","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,252)-ts_zscore(anl4_fcf_flag,252))","RUNNING","3nud1R9XI50t9LIKttXQPBp","","","","","",""
"rank(ts_zscore(anl4_ebitda_value,252)-ts_zscore(anl4_netprofit_flag,252))","RUNNING","1QuhxRfSO4GV9Y0lMEwydMY","","","","","",""
"rank(ts_zscore(anl4_fcf_flag,126))","RUNNING","3EBIBifHu4Bd9VI62kSaXAF","","","","","",""
"rank(ts_zscore(anl4_fcf_flag,126)-ts_zscore(anl4_ebit_value,126))","RUNNING","28wA9h5p84PG9lu9MQuJY9e","","","","","",""
"rank(ts_zscore(anl4_fcf_flag,126)-ts_zscore(anl4_ebitda_value,126))","RUNNING","18hp6gc4r57rcal15rlcZ1IF","","","","","",""
"rank(ts_zscore(anl4_fcf_flag,126)-ts_zscore(anl4_netprofit_flag,126))","RUNNING","lHBoV8U2503acp14eOhpDJv","","","","","",""
"rank(ts_zscore(anl4_fcf_flag,252))","RUNNING","eNBFh9bP528bZ1OzJknbkP","","","","","",""
"rank(ts_zscore(anl4_fcf_flag,252)-ts_zscore(anl4_ebit_value,252))","RUNNING","1l0FAV9aN4q8bImeSGKXFZN","","","","","",""
"rank(ts_zscore(anl4_fcf_flag,252)-ts_zscore(anl4_ebitda_value,252))","RUNNING","6B3eKg1U4rB9FlBvpj0P24","","","","","",""
"rank(ts_zscore(anl4_fcf_flag,252)-ts_zscore(anl4_netprofit_flag,252))","RUNNING","3RQMsF1HM4tH8OkOQFtU1e7","","","","","",""
"rank(ts_zscore(anl4_netprofit_flag,126))","RUNNING","3TRmsb3u34vs9Tn1eC5wDA8x","","","","","",""
"rank(ts_zscore(anl4_netprofit_flag,126)-ts_zscore(anl4_ebit_value,126))","RUNNING","2cG9n9e604LR9wtfzu520k3","","","","","",""
"rank(ts_zscore(anl4_netprofit_flag,126)-ts_zscore(anl4_ebitda_value,126))","RUNNING","1oxlazalq5jwbL910EWZ7nhA","","","","","",""
"rank(ts_zscore(anl4_netprofit_flag,126)-ts_zscore(anl4_fcf_flag,126))","RUNNING","4Cq3sncGY4tbbFT17PyBt26R","","","","","",""
"rank(ts_zscore(anl4_netprofit_flag,252))","RUNNING","41A799f1R58paOchG9lHnm6","","","","","",""
"rank(ts_zscore(anl4_netprofit_flag,252)-ts_zscore(anl4_ebit_value,252))","RUNNING","3UEBwzgH14GNcjAgw0taML1","","","","","",""
"rank(ts_zscore(anl4_netprofit_flag,252)-ts_zscore(anl4_ebitda_value,252))","RUNNING","1FBrNf4FG5dJbRQM7pjBmuR","","","","","",""
"rank(ts_zscore(anl4_netprofit_flag,252)-ts_zscore(anl4_fcf_flag,252))","RUNNING","2IBDlsbKS5fqc08NPfZTTjc","","","","","",""
"rank(ts_delta(anl4_ebit_value,126))","RUNNING","3cmT1c3QF4hAahR10zw6CHsH","","","","","",""
"rank(ts_delta(anl4_ebit_value,252))","RUNNING","1ay3pobpn4IeatqfjJ3sX6G","","","","","",""
