dataset,field_id,type,description,coverage,alphaCount,userCount
pv13,pv13_hierarchy_min2_sector,GROUP,grouping fields,0.7196,138,97
pv13,pv13_hierarchy_min30_3000_513_sector,GROUP,grouping fields,0.9929,49,32
pv13,pv13_hierarchy_min30_3000_mapped_513_sector,GROUP,grouping fields,0.9929,27,23
pv13,pv13_hierarchy_min30_513_sector,GROUP,grouping fields,0.6945,20,18
pv13,pv13_hierarchy_min30_sector,GROUP,grouping fields,0.7196,48,43
pv13,pv13_hierarchy_min40_3000_513_sector,GROUP,grouping fields,0.9929,34,32
pv13,pv13_hierarchy_min50_f3_513_sector,GROUP,grouping fields,0.9929,76,67
pv13,pv13_hierarchy_min51_f1_513_sector,GROUP,grouping fields,0.9929,20,17
pv13,pv13_hierarchy_min51_f1_sector,GROUP,grouping fields,0.9989,137,111
pv13,pv13_hierarchy_min51_f2_513_sector,GROUP,grouping fields,0.9929,37,36
pv13,pv13_hierarchy_min51_f2_sector,GROUP,grouping fields,1.0,83,67
pv13,pv13_hierarchy_min51_f3_513_sector,GROUP,grouping fields,0.9929,27,20
pv13,pv13_hierarchy_min51_f4_513_sector,GROUP,grouping fields,0.9929,60,53
pv13,pv13_hierarchy_min51_f4_sector,GROUP,grouping fields,1.0,84,69
pv13,pv13_hierarchy_min52_1k_513_sector,GROUP,grouping fields,0.3539,21,20
pv13,pv13_hierarchy_min52_2k_513_sector,GROUP,grouping fields,0.6945,14,14
pv13,pv13_hierarchy_min52_2k_sector,GROUP,grouping fields,0.7196,53,50
pv13,pv13_hierarchy_min52_513_sector,GROUP,grouping fields,0.9929,61,53
pv13,pv13_hierarchy_min52_sector,GROUP,grouping fields,1.0,82,72
pv13,pv13_hierarchy_min54_3000_sector,GROUP,grouping fields,1.0,88,75
pv13,pv13_hierarchy_min5_1000_513_sector,GROUP,grouping fields,0.3539,25,24
pv13,pv13_hierarchy_min5_3000_513_sector,GROUP,grouping fields,0.9929,71,66
pv13,pv13_hierarchy_min5_513_sector,GROUP,grouping fields,0.6945,17,16
pv13,pv13_hierarchy_min5_corr21_1000_513_sector,GROUP,grouping fields,0.3539,18,18
pv13,pv13_hierarchy_min5_f3g2_sector,GROUP,grouping fields,1.0,86,71
pv13,pv13_hierarchy_min5_sector,GROUP,grouping fields,0.7196,47,41
pv13,pv13_hierarchy_sector,GROUP,grouping fields,1.0,132,104
pv13,pv13_hierarchys32_513_sector,GROUP,grouping fields,0.9933,29,28
pv13,pv13_hierarchys32_sector,GROUP,grouping fields,1.0,106,91
pv13,pv13_new_1l_scibr,GROUP,grouping fields,0.9896,1541,904
pv13,pv13_new_2l_scibr,GROUP,grouping fields,0.9896,128,110
pv13,pv13_new_3l_scibr,GROUP,grouping fields,0.9896,102,87
pv13,pv13_new_4l_scibr,GROUP,grouping fields,0.9896,152,114
pv13,pv13_new_5l_scibr,GROUP,grouping fields,0.9896,169,128
pv13,pv13_new_6l_scibr,GROUP,grouping fields,0.9896,220,131
pv13,pv13_ompetitorgraphrank_hub_rank,MATRIX,the HITS hub score of competitors,0.9051,1718,1054
pv13,pv13_r2_liquid_min10_sector,GROUP,grouping fields,0.1833,682,304
pv13,pv13_r2_liquid_min2_sector,GROUP,grouping fields,0.1833,115,90
pv13,pv13_r2_liquid_min5_sector,GROUP,grouping fields,0.1833,183,125
pv13,pv13_r2_min10_1000_sector,GROUP,grouping fields,0.3674,262,115
pv13,pv13_r2_min10_3000_sector,GROUP,grouping fields,1.0,659,212
pv13,pv13_r2_min20_1000_sector,GROUP,grouping fields,0.3674,290,122
pv13,pv13_r2_min20_3000_sector,GROUP,grouping fields,1.0,11680,2818
pv13,pv13_r2_min2_1000_sector,GROUP,grouping fields,0.3674,237,101
pv13,pv13_r2_min2_3000_sector,GROUP,grouping fields,1.0,19420,3729
pv13,pv13_r2_min5_1000_sector,GROUP,grouping fields,0.3674,222,91
pv13,pv13_r2_min5_3000_sector,GROUP,grouping fields,1.0,843,237
pv13,pv13_rcsed_6l,GROUP,grouping fields,1.0,3,3
pv13,pv13_revere_city,MATRIX,City code,0.9382,1706,915
pv13,pv13_revere_company_total,MATRIX,Total number of companies in the sector,0.3508,724,582
pv13,pv13_revere_comproduct_company,MATRIX,Company product,0.4078,65,56
pv13,pv13_revere_country,MATRIX,Country code,0.9573,1340,731
